first group size, frequency
13, 12
14, 9
15, 9
16, 5
17, 4
18, 2
19, 5
20, 1
22, 1
23, 1
24, 2
25, 1
26, 1
27, 3
28, 2
30, 1
31, 3
33, 2
36, 1
37, 1
40, 1
56, 1
61, 1
first group size, frequency
1,61486
2, 14017
3, 3306
4, 651
5, 34
6, 18
7, 11
8, 11
9, 3
10, 2
11, 1
12, 2
14, 1
17, 1
first group size, frequency
1,201643
2, 49401
3, 13826
4, 4587
5, 2206
6, 1564
7, 1119
8, 879
9, 671
10, 506
11, 438
12, 370
13, 330
14, 285
15, 268
16, 225
17, 186
18, 178
19, 170
20, 150
21, 100
22, 109
23, 121
24, 96
25, 90
26, 89
27, 79
28, 73
29, 90
30, 74
31, 64
32, 72
33, 49
34, 51
35, 56
36, 45
37, 52
38, 58
39, 53
40, 48
41, 38
42, 34
43, 33
44, 24
45, 33
46, 34
47, 36
48, 25
49, 37
50, 30
51, 35
52, 20
53, 24
54, 29
55, 15
56, 23
57, 19
58, 18
59, 25
60, 22
61, 23
62, 20
63, 17
64, 17
65, 12
66, 25
67, 24
68, 10
69, 13
70, 23
71, 13
72, 9
73, 18
74, 18
75, 15
76, 9
77, 9
78, 17
79, 12
80, 10
81, 11
82, 15
83, 11
84, 9
85, 8
86, 9
87, 5
88, 11
89, 7
90, 8
91, 8
92, 12
93, 9
94, 16
95, 7
96, 5
97, 4
98, 6
99, 10
100, 10
101, 10
102, 6
103, 8
104, 6
105, 7
106, 7
107, 5
108, 11
109, 5
110, 7
111, 6
112, 7
113, 7
114, 2
115, 9
116, 4
117, 4
118, 4
119, 4
120, 5
121, 4
122, 2
123, 3
124, 5
125, 8
126, 5
127, 8
128, 3
129, 4
130, 3
131, 9
132, 2
133, 7
134, 5
135, 9
136, 7
137, 5
138, 9
139, 3
140, 8
141, 3
142, 3
143, 4
144, 3
145, 2
146, 6
147, 4
148, 2
149, 5
150, 7
151, 5
152, 2
153, 4
154, 4
155, 2
156, 6
157, 4
158, 3
159, 1
160, 5
161, 8
162, 3
163, 3
164, 2
165, 4
166, 2
167, 2
168, 1
169, 4
170, 7
171, 1
172, 2
173, 1
174, 2
175, 1
177, 1
178, 2
179, 4
180, 2
181, 3
182, 7
183, 2
184, 4
185, 2
187, 4
188, 3
189, 3
190, 7
192, 4
193, 2
194, 1
195, 4
196, 2
197, 2
198, 1
199, 4
200, 1
202, 2
203, 3
205, 3
206, 2
207, 1
208, 4
209, 1
213, 2
214, 2
215, 1
216, 2
218, 2
219, 1
222, 2
223, 1
224, 2
226, 1
228, 2
229, 2
231, 1
232, 5
234, 2
238, 1
240, 4
242, 1
243, 3
245, 1
246, 2
247, 1
248, 2
249, 3
250, 2
251, 2
252, 2
253, 3
256, 2
257, 1
258, 3
261, 2
262, 3
263, 1
264, 2
266, 1
267, 1
268, 1
269, 2
270, 3
272, 3
274, 2
275, 2
276, 1
278, 1
279, 2
280, 4
282, 1
283, 2
284, 1
286, 1
287, 3
288, 1
290, 1
291, 1
293, 1
294, 1
296, 1
299, 1
300, 1
302, 2
303, 2
305, 3
306, 1
308, 2
310, 2
311, 2
313, 1
314, 1
315, 3
317, 2
318, 1
319, 1
320, 2
323, 2
325, 1
327, 1
328, 1
330, 1
331, 3
333, 1
335, 1
338, 2
339, 1
340, 1
341, 1
342, 1
343, 1
346, 1
347, 2
348, 2
349, 1
350, 1
352, 1
353, 1
356, 4
357, 2
359, 2
360, 3
361, 1
362, 3
363, 2
366, 2
369, 1
370, 1
373, 1
377, 2
379, 1
380, 1
382, 1
383, 1
385, 1
386, 3
387, 2
391, 2
396, 1
399, 2
400, 1
401, 1
403, 2
407, 2
409, 1
411, 1
413, 1
417, 1
419, 1
420, 1
421, 1
422, 1
425, 1
431, 1
432, 2
435, 1
436, 1
438, 1
441, 2
442, 1
443, 1
444, 2
447, 2
450, 1
452, 1
454, 1
457, 2
459, 1
461, 1
463, 1
464, 1
465, 1
466, 1
468, 1
474, 1
476, 1
478, 1
489, 1
490, 1
491, 1
493, 1
495, 1
501, 2
503, 1
508, 1
509, 3
510, 2
511, 1
512, 2
513, 2
518, 1
520, 2
521, 1
522, 2
528, 1
529, 1
531, 1
532, 1
537, 2
538, 1
539, 1
540, 2
543, 2
544, 2
547, 2
551, 2
553, 1
554, 1
563, 1
564, 1
565, 1
566, 1
567, 3
568, 1
578, 1
580, 2
581, 1
582, 2
583, 1
586, 1
588, 1
589, 1
602, 1
603, 1
605, 1
610, 1
611, 1
616, 1
617, 2
624, 1
628, 1
632, 1
638, 2
650, 1
653, 1
656, 1
661, 1
665, 1
667, 1
668, 1
673, 1
676, 2
680, 1
682, 1
685, 2
686, 1
696, 1
697, 1
701, 1
704, 1
723, 1
724, 3
728, 1
729, 1
735, 1
736, 1
737, 1
754, 1
757, 2
767, 2
771, 2
772, 1
773, 1
778, 1
781, 1
782, 1
789, 2
791, 1
796, 1
814, 1
819, 2
823, 2
824, 1
825, 1
835, 1
837, 1
858, 1
874, 1
882, 1
920, 1
921, 1
928, 2
969, 1
971, 1
974, 1
986, 1
992, 1
997, 1
999, 1
1008, 1
1021, 1
1023, 1
1028, 2
1032, 1
1049, 1
1060, 1
1067, 1
1068, 1
1079, 1
1086, 1
1087, 1
1095, 1
1100, 1
1104, 1
1122, 1
1124, 1
1136, 2
1201, 1
1234, 1
1253, 1
1255, 1
1268, 1
1269, 1
1284, 1
1298, 1
1301, 1
1319, 1
1325, 1
1335, 1
1338, 1
1361, 1
1390, 1
1401, 1
1407, 1
1415, 1
1429, 1
1438, 1
1493, 1
1505, 1
1508, 1
1536, 1
1559, 1
1574, 1
1578, 1
1611, 1
1665, 1
1676, 1
1698, 1
1713, 1
1743, 1
1799, 1
1871, 1
1897, 1
1934, 1
1941, 1
1949, 1
1955, 1
1976, 1
2025, 1
2026, 1
2124, 1
2140, 1
2179, 1
2181, 2
2183, 1
2190, 1
2234, 1
2261, 1
2358, 1
2365, 1
2480, 1
2521, 1
2611, 1
2733, 1
2810, 1
2856, 1
2889, 1
2942, 1
2958, 1
2980, 1
3219, 1
3232, 1
3285, 1
3434, 1
3742, 1
4020, 1
4127, 1
4442, 1
4754, 1
4782, 1
4834, 1
5105, 1
5805, 1
6369, 1
7532, 1
8921, 1
13398, 1
16315, 1
29949, 1
35055, 1
first group size, frequency
1,106822
2, 18845
3, 5568
4, 812
5, 196
6, 120
7, 63
8, 52
9, 28
10, 23
11, 10
12, 13
13, 12
14, 9
15, 9
16, 5
17, 4
18, 2
19, 5
20, 1
22, 1
23, 1
24, 2
25, 1
26, 1
27, 3
28, 2
30, 1
31, 3
33, 2
36, 1
37, 1
40, 1
56, 1
61, 1
first group size, frequency
1,61486
2, 14017
3, 3306
4, 651
5, 34
6, 18
7, 11
8, 11
9, 3
10, 2
11, 1
12, 2
14, 1
17, 1
first group size, frequency
1,606761
2, 142426
3, 34911
4, 56375
5, 2861
6, 1677
7, 912
8, 758
9, 386
10, 287
11, 181
12, 178
13, 106
14, 105
15, 76
16, 84
17, 67
18, 48
19, 36
20, 42
21, 31
22, 21
23, 20
24, 30
25, 14
26, 17
27, 11
28, 15
29, 17
30, 22
31, 16
32, 11
33, 8
34, 7
35, 3
36, 2
37, 10
38, 2
39, 13
40, 6
41, 8
42, 4
43, 6
44, 9
45, 4
46, 1
47, 1
48, 6
49, 2
50, 6
51, 6
52, 4
53, 6
54, 4
56, 1
57, 3
58, 3
59, 2
60, 6
61, 2
62, 2
63, 4
64, 3
65, 1
66, 2
67, 1
68, 1
69, 5
71, 1
72, 1
74, 3
76, 4
77, 4
78, 1
79, 4
80, 3
81, 2
82, 1
83, 2
84, 2
85, 2
87, 2
89, 2
90, 1
91, 1
95, 1
98, 1
100, 1
101, 1
106, 1
107, 1
111, 1
113, 2
115, 2
117, 1
121, 1
127, 1
129, 1
131, 1
132, 1
143, 1
152, 3
154, 1
160, 1
193, 1
199, 1
200, 1
213, 1
215, 1
228, 1
247, 1
260, 1
269, 1
286, 1
299, 1
300, 1
302, 1
314, 1
324, 1
331, 1
357, 1
369, 1
393, 1
436, 1
531, 1
875, 1
1042, 1
1360, 1
1651, 1
first group size, frequency
1,4423
2, 993
3, 391
4, 213
5, 132
6, 90
7, 72
8, 36
9, 29
10, 10
11, 10
12, 5
13, 4
14, 5
15, 4
16, 1
22, 2
first group size, frequency
1,9478
2, 2935
3, 1208
4, 584
5, 318
6, 211
7, 118
8, 86
9, 57
10, 30
11, 29
12, 19
13, 14
14, 11
15, 9
16, 7
17, 4
18, 3
19, 1
20, 7
21, 4
22, 2
24, 1
25, 3
40, 1
42, 1
58, 1
first group size, frequency
1,6024
2, 1415
3, 368
4, 138
5, 64
6, 32
7, 11
8, 7
9, 5
10, 1
11, 1
12, 1
13, 1
14, 1
15, 1
16, 1
